chunk_id,source_document,chunk_text
01_nanodac_recorder_chunk_000,01_nanodac_recorder,"Eurotherm nanidac Recorder / Controller

The ultimate in graphical recording combined with PID control and setpoint programs
The nanodac™ recorder/controller offers the ultimate in graphical recording combined with PID control for a box of its size. The compact ¼ DIN panel mount unit offers four high accuracy universal inputs for data recording and PID control."
01_nanodac_recorder_chunk_001,01_nanodac_recorder,"iversal inputs for data recording and PID control. This secure data recording device with accurate control is enhanced by a full colour, ¼ VGA display to bring a crystal clear operator interface to even the smallest of machines.

Description:
Precision analogue batch recording"
01_nanodac_recorder_chunk_002,01_nanodac_recorder,"Description:
Precision analogue batch recording

The Eurotherm nanodac™ recorder/controller offers four channels of precision analogue batch recording, easily meeting the requirements of regulators for accuracy and repeatability, and data logging requirements of 21 CFR 11. For more demanding applications, the Versadac recorder provides a back of panel solution with almost unlimited capacity."
01_nanodac_recorder_chunk_003,01_nanodac_recorder,"of panel solution with almost unlimited capacity. Both allow alarm and discrete input logging, communications with other devices, results available in the data record, electronic signatures and batch data recording.

EtherNET/IP Client or Server mode

Available as an option, the nanodac recorder/controller can be easily integrated with an existing instrument network and act as local data historian."
01_nanodac_recorder_chunk_004,01_nanodac_recorder,"nstrument network and act as local data historian. When enabled, EtherNet/IP allows the nanodac to act as either a Client or a Server and provides data recording for up to 30 process parameters (via virtual channels). EtherNet/IP provides two user pages, the first is an overview of all the process parameters (data points) being addressed via the communications."
01_nanodac_recorder_chunk_005,01_nanodac_recorder,"ta points) being addressed via the communications. The second is a diagnostics page that can be used during initial setup and commissioning, to test the connection, between the Client and/or Server.

3 x Isolated DC Outputs (DDD)

This release provides support for Isolated DC Outputs in option slots OP1, OP2 and OP3. Please refer to the Installation sheet or User Guide for wiring instructions.

Washdown Front"
01_nanodac_recorder_chunk_006,01_nanodac_recorder,"r Guide for wiring instructions.

Washdown Front

An optional IP66 rated Wash-down bezel has been made available in this release, making the nanodac suitable for applications in Food & Beverage or CIP/SIP.

Crystal clear, colour display

The 3.5” TFT display offers incredibly clear visualisation of process parameters with a wide selection of configurable views to best suit the application."
01_nanodac_recorder_chunk_007,01_nanodac_recorder,"f configurable views to best suit the application. Views include: Horizontal and vertical trends; Horizontal and vertical bar graphs; Numeric; Alarm panel, Alarm status, and control loops. The unit also provides user wiring from the front of the product for detailed configuration without the need to connect to a PC.

Data Acquisition and Recording

The nanodac recording functionality utilises the secure strategies and UHH format developed by Eurotherm through years of recording expertise."
01_nanodac_recorder_chunk_008,01_nanodac_recorder,"by Eurotherm through years of recording expertise. As well as multiple real-time views and historical review on the product, multiple data archiving strategies are provided utilising the 50MB onboard Flash memory, removable USB and data transfer via FTP to a specified server.

The four universal input channels provide high accuracy (suitable for use in Nadcap applications) and 125ms parallel sampling."
01_nanodac_recorder_chunk_009,01_nanodac_recorder,"Nadcap applications) and 125ms parallel sampling. An additional 30 virtual channels can be utilised to provide maths, counter, slave communications and totaliser functionality within the instrument.

Eurotherm Data Reviewer is the ideal choice for the viewing, analysis and printing of historical data files acquired from Eurotherm data acquisition equipment.

PID Control Loops

The nanodac instrument can also provide two independent control loops (optional)."
